"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"Cre?terea productivit??ii ?i extinderea activit??ii SC DAN & DAN CONSTRUCT SRL prin achizi?ia unor utilaje de construc?ii","SC DAN & DAN CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",868253,141343,432684,257984,1700264
"Achizi?ie de utilaje la SC  TEHNO GLASS  SRL din Municipiul Oradea, Jude?ul Bihor","SC TEHNO GLASS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",862966,140483,430050,272365,1705864
"DIVERSIFICAREA   PRODUC?IEI   �N  CADRUL   SC ECLIPSE     SRL,     PPJN     ACHIZI?IONAREA     DE ECHIPAMENTE,      LICEN?E      ?I      TEHNOLOGII INOVATIVE,        �N        VEDEREA         SUS?INERII PROCESULUI DE CONSOLIDARE ?I DEZVOLTARE A DOMENIULUI TIPOGRAFIC DIN REGIUNEA SUD-EST","SC ECLIPSE SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",862264,140369,429700,370837,1803169
"INVESTI?IE INI?IAL? PENTRU REALIZAREA UNEI LINII MODULARE DE PRODUC?IE DE MATERIALE INOVATIVE    DESTINATE    TEHNOLOGELOR   DE MEDIU","S.C. AMD INI?IATIVE S.R.L. Bucure?ti","Axa     Prioritar?     2/     DMI     2.3     Accesul �ntreprinderilor    la    activit??i    de    cercetare-dezvoltare  ?i  inovare /  O 2.3.3  Promovarea inov?rii in cadrul intreprinderilor",854070,174930,0,134686,1163686
"Achizi?ie    utilaje   pentru   integrarea   �n   produc?ie   a contorului 420 PC �n cadrul societ??ii Fluid Group Hagen SRL, Loc. C?rei, Jud. Satu Mare","SC FLUID GROUP HAGEN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",845841,137695,655691,314961,1954188
"Cre?terea productivit??ii  muncii  ?i  calit??ii  produselor prin dezvoltarea ?i modernizarea capacit??ii de produc?ie la SC Lindec Rom�nia SRL, Bucure?ti","SC Lindec Rom�nia SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",845141,137581,655148,212338,1850208
"Cre?terea   competitivit??ii   SC   EUROINK   ROM�NIA SRL prin achizi?ionarea de tehnologii ?i utilaje noi","SC EUROINK ROMaNIA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",844785,137523,654872,325440,1962620
"Extindere atelier de confec?ii m?nu?i de piele - Corunca -Jud. Mure?","SC HUNGANT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A 1-Sprijin   financiar   cu   valoare   cuprins?   �ntre 920.001   lei   ?i   5.560.000  lei   acordat  pentru investi?ii pentru IMM",843880,137376,420538,360475,1762269
"Dezvoltarea competivit??ii firmei prin achizi?ionarea de noi utilaje","SC LUX ARTIM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",842732,137189,419966,269560,1669447
"STAND PENTRU TESTAREA CARACTERISTICILOR TERMICE           SI           FLUIDO-DINAMICE           A SCHIMB?TOARELOR DE C?LDURA","SC RAAL SA","Axa Prioritar? 2/ DMI 2.3/ O 2.3.2 Dezvoltarea infrastructurii   de   CD   a  �ntreprinderilor,   cu crearea de noi locuri de munc? pentru CD",842450,172550,1015000,561200,2591200
"Automatizarea     procesului     de     fabrica?ie     la     SC PRODUC?IE MOBEXPERT SRL prin introducerea de noi tehnologii ?i prin achizi?ia de noi echipamente pentru protec?ia mediului","SC PRODUC?IE MOBEXPERT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",838706,136534,650161,308826,1934227
"Dotarea cu utilaje performante ?i mijloace de transport tehnologice","SC Versys SV SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",835401,135996,416313,366442,1754152
"Cre?terea    competitivit??ii    POTAISSA    S.C.M.    prin achizi?ia unei linii de reciclare PET de ultima genera?ie","POTAISSA Societate Cooperativa Me?te?ug?reasca","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",835037,135936,418116,304760,1693849
"ACHIZI?IE  ECIEPAMENTE   ?I  UTILAJE  PENTRU PRELUCRAREA   LEMNULUI,   LOC.   COM?NE?TI, JUD. BAC?U","SC DIMMER SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",834488,135847,646890,344937,1962162
"MODERNIZAREA   ACTIVIT??II   ECONOMICE   LA B&B TRANSINVEST SRL","SC B&B TRANSINVEST SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",833529,135691,415380,263074,1647674
"ACHIZI?IONAREA       DE       UTILAJE       PENTRU PRODUC?IA DE MEDICAMENTE","SC VIM SPECTRUM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",830505,135199,637540,304616,1907860
"DIVERSIFICAREA     ?I     CRE?TEREA     CALIT??II PRODUC?IEI DE STICL? LAMINAT? CURB?","SC PJETTA GLASS WORKING SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",822593,133910,677428,310447,1944378
"IMPLEMENTARE SISTEM PENTRU PLANIFICAREA RESURSELOR SI ACHIZI?IE ECPEPAMENTE TIC IN CADRUL S.C. AVITECH CO S.R.L.","AVITECH COS.R.L.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",814618,183444,835004,439936,2273002
"ACHIZI?IONAREA           SI           IMPLEMENTAREA SISTEMULUI      INFORMATIC      INTEGRAT      DE MANAGEMENT       �N       CADRUL       COMPANIEI ""LOGISTIC E VAN WIJK SRL""","LOGISTIC E VAN WIJK S.R.L.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",811711,182789,1910500,697200,3602200
"IMPLEMENTAREA     SISTEMULUI     INFORMATIC INTEGRAT DE TIP ERP-CRM-BI �N CADRUL S.C MERIDIAN  VEST   S.R.L.   -   CHEIE  A   CRE?TERII COMPETITIVITATE                �N               INDUSTRIA AUTOMOBILELOR","Meridian Vest S.R.L.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",811140,182660,1341200,560400,2895400
"PROCURARE UTILAJE CONSTRUC?II","SC CTM 91 SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",809112,131716,403212,255368,1599408
"INVESTI?IE NOU? - HAL? FABRICA?IE ?I LINIE BRICHETAT sat Jabelni?a, FN, Solov?stru, jud. Mure?","SC Oltean Prodlemn SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",807451,131445,625932,504330,2069158
"Achizi?ie     de     utilaje     pentru     retehnologizarea     ?i diversificarea capacit??ii de produc?ie, Loc. Ludu?, Jud. Mure?","SC Romferchim SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",800719,130350,620713,296338,1848120
"Modernizarea     SC     Bermo     Logistic      SRL     prin achizi?ionarea de utilaje �n vederea optimiz?rii activit??ii de construc?ii","SC Bermo Logistic SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",799676,130180,607752,580015,2117623
"MODERNIZAREA   ?I  EXTINDEREA  CAPACIT??II DE  PRODUC?IE  LA   SC   T.C.   CONSTRUCT   SRL GIURGIU, PRTN ACHIZI?IA UNEI LINII COMPLETE �NALT   TEHNOLOGIZATE,   PENTRU  PRODUC?IA GEAMULUI TERMOIZOLATOR","SC T.C. CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special TMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",799066,130080,398206,238248,1565600
"Cre?terea     competitivit??ii     economice     a     societ??ii AMAGEO SRL prin achizi?ia unui sistem de produc?ie ?i punere �n oper? a betoanelor","SC AMAGEO SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",798073,129919,397712,414530,1740233
"CRE?TEREA  COMPETITIVIT??II  SC  POTEN?IAL CONS    SRL    PRIN   ACHIZI?IONAREA    DE    NOI UTILAJE","SC POTEN?IAL CONS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",797847,129882,618486,293782,1839997
"Competitivitate �n lucr?rile de construc?ii de drumuri prin achizi?ia   de   utilaje   de   ultima   genera?ie   ?i   software specializat","SC Comsid Tehnosteel SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",797236,129783,403589,275293,1605901
"OPTIMIZAREA PROCESULUI  TEHNOLOGIC PRIN ACHIZI?IA DE UTILAJE","SC MOBILETECH OBEIDAT CONSTRUC?II SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",797036,129750,416382,255202,1598370
"Cre?terea competitivit??ii SC BAITA BIHOR SA prin extinderea liniei de produc?ie actuale �n scopul ob?inerii a dou? noi produse","SC BAITA BIHOR SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",796106,129599,599089,309691,1834484
"REALIZARE     DE     STANDURI      ?I     MACHETE EXPERIMENTALE DESTEMATE ZONEI DIDACTICE SAU    DE     CERCETARE,     CUSTOMTZABILE    �N FUNC?IE   DE   CEREM?ELE   BENEFICIARULUI   ?I FOLOSPND      REZULTATE      ALE      CERCET?RII ROM�NE?TI","S.C. SANGARI ENGEMEEREMG SERVICES ROM�NIA S.R.L. Voluntari","Axa     Prioritar?     2/     DMI     2.3     Accesul �ntreprinderilor    la    activit??i    de    cercetare-dezvoltare  ?i  inovare /  O 2.3.3  Promovarea inov?rii in cadrul intreprinderilor",793568,162538,786404,582165,2324675
"DOTAREA CU ECHIPAMENTE PERFORMANTE","SC EDIL CENTER SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",791676,128877,394524,249864,1564941
"DEZVOLTAREA CAPACIT??II DE PRODUC?IE","SC ZEUS SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,394577,252840,1567417
"Diversificarea activit??ii productive a SC Romeo System SRL prin achizi?ionarea de echipamente ?i utilaje pentru fabricarea de u?i ?i ferestre din metal","SC ROMCO SYSTEM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,613333,414234,1947567
"CRE?TEREA EFICIEN?EI PRODUCTIVITATE PPJN DESCHIDEREA UNUI NOU PUNCT DE LUCRU","SC ROMCONFORT DESIGN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,610886,290868,1821755
"Modernizarea   ?i   eficientizarea   activit??ii   din   cadrul atelierului de t�mplarie","FORESTERRA SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,394285,249714,1563999
"Modernizarea produc?iei prin achizi?ia de utilaje pentru construc?ii la Gecorom SA Craiova","GECOROM SA","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,1032240,370926,2323166
"Cre?terea capacit??ii  de produc?ie  precum ?i  a gamei sortimentale   de  filtre  de  aer  destinate   sistemelor  de ventila?ie    �n     construc?ii,     prin     achizi?ionarea     de echipamente    specifice    produc?iei    de    filtre    clasa HEPA/ULPA prin tehnologie MINIPLEAT","SC Filtre Aer Curat SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,555905,366513,1842418
"ACHIZI?IE      DE    ECHIPAMENTE     ?I     UTILAJE PENTRU     PRODUC?IA     DE     AMBALAJE,     �N VEDEREA       MODERNIZ?RII       ?I       CRE?TERII CAPACIT??II DE PRODUC?IE LA  SC HECOMIN IMPEX SRL, LOC. BAC?U, JUD. BAC?U","HECOMIN IMPEX S.R.L.","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,401504,253366,1574870
"�nfiin?are unitate de produc?ie agregate minerale sortate, �n comuna Malu Mare, jude?ul Dolj, SC Jodyfin SRL Craiova","JODYFIN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,542800,0,1462800
"Modernizarea societ??ii CAFMIN SRL prin achizi?ia de utilaje necesare ciclului de produc?ie","CAFMIN SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,394285,319278,1633563
"ACHIZI?IONARE         MIJLOACE         TRANSPORT TEHNOLOGIC             SPECIALIZAT             PENTRU MODERNIZARE FIRM?","SC ALEXCOR TRADING SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,958640,356942,2235582
"Cre?terea eficien?ei ?i productivi??ii activit??ii de execu?ie prin modernizarea sectorului mecanic al SC EXCLUSIV CONSTRUCT SRL","SC EXCLUSIV CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,964170,357992,2242162
"Modernizarea ?i completarea parcului de utilaje pentru lucr?ri de construc?ii","TERRA GAZ CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,920000,349600,2189600
"Modernizarea     tehnologic?     �n     vederea     extinderii capacit??ii de produc?ie a SC Cariera Meri SRL","SC CARIERA MERI SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,815250,407963,2143214
"Achizi?ie echipament ?i accesorii  pentru modernizarea fabricii de ?igl? Teiu?","SC IMCOP SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791200,128800,1145636,171685,2237321
"MODERNIZAREA                PRODUC?IEI                DE �NC?L??MINTE","ACELLUM SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",791158,128793,701394,500971,2122316
