ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung, gewahrte_betrage, bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage ,
456,"""Haus der Küchen"" Waldschmidt","Ausbau und Stärkung der wirtschaftlichen Eigenkraft des
Unternehmens durch zielgruppenorientiertes Marketing",2008,,"4,800.00",,
808,"*NOKA"" Holzverarbeitungs GmbH","Neubau einer Lagerhalle, Maschinen- und Softwareinvestitionen",2008,,"32,700.00",,
1224,1. Motorsportclub Wolfsburg e.V.,"Yachthafen Wolfsburg - Förderung des Wassersporttourismus
durch Qualitätssteigerung des Hafens und des Hafengeländes",2009,,"69,000.00",,
1,A. Gerdes GmbH & Co. KG,Ausbau der Marktposition des Unternehmens,2008,2009,,"4,000.00",
2,A. Obenauf GmbH & Co. KG,Einwerbung von Eigenkapital ggf. ergänzendem Fremdkapital,2008,,"10,000.00",,   
3,ABG Allgemeine Baumaschinen- Gesellschaft mbH,"Grunderwerb, bauliche Investitionen, Maschinenerwerb",2008,,"3,031,200.00",,
4,ABR Metallguß GmbH,"Verbesserung der Marktposition, Marketing und Werbung für
Neukundengewinnung",2008,2009,,"4,400.00",
5,Abwasserentsorgung Helmstedt,Umstellung von Misch- auf Trennkanalisation in Helmstedt,2009,,"1,832,600.00",,
6,Abwasserverband Raum Katlenburg,"Ausbau der Kläranlage Elvershausen Erweiterung der Stickstoff-
und Phosphatelimination",2008,2009,,"250,000.00",
7,ACS International GmbH,Entwicklung eines Marketing-und Vertriebskonzeptes,2008,2009,,"3,790.00",
8,ACS-Vertrieb GmbH,"Strategische und umfassende Beratung zu den Designprozessen
im Status der Produktentwicklung",2008,2008,,"5,600.00",
1118,TU Clausthal/Energie-Forschungszentrum,Technologietransfer der TU Clausthal/ EFZN,2008,,"355,200.00",
1119,Twietmeyer Pflanzenhandel GmbH,"Erstellung einer aussagefähigen Konzeption zur
Unternehmensnachfolge",2008,2009,,"2,100.00"
1120,"Udo Schmidt, Land- & Gartentechnik","Bau einer Vorrichtung zur automatischen Reinigung von Hufen
eines Huftieres",2008,,"33,600.00",
1121,Uni Hildesheim Informationswissenschaft,"Entwicklung eines Toolkits für B-U-I (Barrierefreiheit ? Usabili ty ?
Internationalisierung)",2008,,"267,960.00",
1124,Uni Hildesheim Informationswissenschaft,Lernende Empfehlungssysteme für Online-Shops,2009,,"309,351.66",
1125,Universität Osnabrück,FerGI@KMU,2008,,"209,447.15",
1126,Universität Osnabrück,Good Gaze,2008,,"301,141.12"
1127,Universität Osnabrück,Schulconsultingprojekt 2008,2008,,"110,043.35"
1128,Universität Osnabrück,"Studie zur Erhebung des Weiterbildungsbedarfs im Bereich E-
Busin ess",2008,,"30,075.24"
1129,Universität Osnabrück,Zentrum für Promovierende an der Universität Osnabrück ZePrOs,2008,,"905,161.00"
1130,Universum e.V.,Um-/Ausbau der Alten Webschule in Bramsche,2008,,"178,206.90"
1131,Universum Kinobetriebs GmbH,Entwicklung einer Marketing- und Vertriebsstrategie,2008,,"4,000.00"
1132,Unternehmensverbände Handwerk Niedersachsen e.V.,"Förderung der einzelbetriebl.Unternehmensberatung von nds.
Handw erksunternehmen durch organisationseigene Berater
(2008)",2008,,"202,465.00"
1133,Valentin Schmidt GmbH,Entwurf eines neuen Marketing- und Vertriebskonzeptes,2008,,"10,000.00"
1134,Varelmann Beratungsgesellschaft mbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00"
1135,Varusschlacht im Osnabrücker Land GmbH,Besucherzentrum Varusschlacht,2007,,"4,376,990.42"
1136,Varusschlacht im Osnabrücker Land GmbH,Varusschlacht -Erweiterung der Dauerausstellung,2007,,"900,000.00"
1137,Ventus GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00"
1138,Verein Technologiezentren Niedersachsen e.V.,"IKN 2020 Initiative für die Informations- und Kommunikationswirt
schaft Niedersachsen",2009,,"567,750.00"
1139,"Verlag ""Die Werkstatt GmbH""",Erweiterung der Betriebsstätte,2007,,"120,000.00"
1140,"Versorgungswerk der deutschen Medien und
Veranstaltungswirtschaft GmbH","Marketingberatung zur Verbesserung und Sicherung des
Unternehmen s",2009,,"6,800.00"
1141,visuamundo GbR,Einstellung eines Hochschulabsolventen,2009,,"12,000.00"
1142,Vogt Werkstoffprüfsysteme GmbH,"Entwicklung eines modularen Ultraschallprüfgerätesystems zur
Realisierung multipler Prüftechniken",2008,,"224,000.00",
1143,Vogt Werkstoffprüfsysteme GmbH,"Strukturierung und Ausrichtung des Unternehmens für die
Übernahme/Nachfolge",2008,,"10,000.00",
1144,Volkshochschule Göttingen e. V.,"In-Regio-N - Innovation für Regionalentwicklung im südlichen Nie
dersachsen",2008,,"296,557.00",
1145,Volkshochschule Hildesheim gGmbH,Bündnis für Erziehung und lebensbegleitendes Lernen,2008,,"361,529.32",
1148,Volkshochschule Langenhagen,LernZeitAlter - Alterssensible Lernkonzepte für die Praxis,2008,,"212,278.38",
1149,von Aschwege & Tönjes GmbH,"Innovatives Transportsystem zum tiergerechten Transport von
Schweinen",2008,,"100,000.00",
1150,von Grone Personalberatung,Entwicklung der langfristigen Strategie des Marktauftrittes,2007,2008,,"1,600.00"
1151,Vorwerk & Co. Teppichwerke GmbH & Co. KG,Erweiterung einer bestehenden Betriebsstätte,2008,,"900,000.00",
1152,W & M Apparatebau GmbH,Verbesserung der Marketing- und Organisationsstrukturen,2007,2008,,"3,900.00"
1153,W. Achterberg Stahl- und Metallbau GmbH,"Vorbereitung der Unternehmensnachfolge einschl.
Unternehmensbewertung",2008,2008,,"4,000.00"
1154,W. Hoffmann GmbH,"Sicherung der Nachfolgeregelung durch Beteiligung von Mitarbeite
rn",2009,,"10,000.00",
1155,Waagen Dammaschke GmbH,Erweiterung einer Betriebsstätte,2008,,"65,400.00",
1157,Wagner GmbH,Erweiterung einer Betriebsstätte,2007,,"22,200.00",
1158,Wagner Kurier-Logistik GmbH,Umstrukturierung des Marketing- und Vertriebskonzeptes,2008,2008,,"8,412.50"
1156,"Wagner, Bernd - Subway in Niedersachsen",Marktseitige Optimierung des Unternehmens,2009,,"5,600.00",
1159,WAL Mess- und Regelsysteme GmbH,Beratung zur Erstellung eines Marketingkonzeptes,2009,,"10,000.00",
1160,WAL Mess- und Regelsysteme GmbH,Beratung zur Gestaltung des Designs verschiedener Medien,2009,,"10,000.00",
1161,WAL Mess- und Regelsysteme GmbH,"Betriebsverlagerung mit Erweiterung/Übernahme einer
Betriebstätte",2007,,"66,600.00",
1162,Waremode GmbH,"Erarbeitung eines Marketingkonzeptes und begleitende Beratung
bei der Umsetzung",2008,2008,,"10,000.00"
1163,Wasser-Abwasser-Systemtechnik GmbH Herr W. Lanzendorf,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
1164,Wasserverband Gifhorn,Anpassung Mischwasserbehandlung Vollbüttel-Ribbesbüttel,2009,,"773,090.00",
1165,Wasserverband Peine,"Erweiterung der Kläranlage Mehrum, Gemeinde Hohenhameln",2007,,"2,703,680.00",
1166,Wasserverband Peine,"Erweiterung der Kläranlage Plockhorst, Gemeinde Edemissen",2007,,"831,000.00",
1167,Wasserverband Peine,"Erweiterung der Kläranlage Steinbrück, Gemeinde Söhlde 1. BA",2007,,"925,000.00",
1168,Wasserverband Peine,"Erweiterung der Kläranlage Steinbrück, Gemeinde Söhlde 2.
Bauabschnitt",2008,,"925,000.00",
1169,Wasserverband Peine,Umbau und Erweiterung der Kläranlage Uschlag,2009,,"932,484.00",
1170,WBT WESER BETON TECHNOLOGIE GmbH,"Erforschung, Entwicklung und Herstellung von Betonzusatzstoffen",2007,,"433,900.00",
1173,WEB Wolfsburger Entwässerungsbetriebe,Umbau/Sanierung der Kläranlage Hattorf,2009,,"1,531,827.50",
1174,Weckenbrock Tischlerei GmbH & Co. KG,Entwicklung eines strategischen MArketingkonzeptes,2009,,"4,800.00",
1175,WEGO-Druck GmbH,"Management- und Informationsdefizite im Marketing zur
Steigerung der Wettbewerbsfähigkeit beheben",2007,2008,,"8,000.00"
1176,Weidenhammer Packungen GmbH & Co. KG,Errichtung einer Betriebsstätte,2007,2008,,"780,000.00"
1177,Weikert Leichtmetallbau GmbH,Profilsystem für wärmegedämmte Aluminium-Fenster und -Türen,2007,2008,,"15,751.52"
1178,Weiss Büro-Service GmbH,"Erwerb einer stillgelegten oder von von Stilllegung bedrohten
Betriebsstätte",2008,2009,,"59,641.80"
1179,Werkstatt für Malerei H. Hartmann,Entwicklung eines Marketing- und Kommunikationskonzeptes,2009,,"4,000.00",
1180,Werner Förster und Sohn GmbH,"Erstellung einer aussagekräftigen Konzeption zur
Unternehmensübergabe",2008,2009,,"2,100.00"
1181,Werner Lott KfZ- und Industriebedarf GmbH,Relaunch der Website des Unternehmens,2009,,"6,000.00",
1182,Weser Ems Lifte,"Entwicklung einer  langfristigen Strategie und des Markenauftrit tes
des Unternehmnes",2009,,"3,000.00",
1183,Weserbergland Tourismus e. V.,Masterplan Weserbergland,2008,,"93,058.00",
1184,Weserbikeland,Beratung zur Entwicklung eines CD für das Unternehmen,2009,2009,,"6,400.00"
1185,Wessel-Hydraulik GmbH,Erweiterung einer Betriebsstätte,2008,,"193,600.00",
1186,WFO Wirtschaftsförderung Osnabrück GmbH,Technologietransferberatungen im Bereich Osnabrück,2008,,"130,000.00",
1187,Wiebold Garten- und Landschaftsbau GmbH,"Entwicklung eines Marketingkonzepts zur Anpassung der
Prozesse und Strukturen im Unternehmen an die zukünftige
Ausrichtung",2008,,"4,800.00",
1188,Wiechmann & Heidemann GbR,"Entwicklung einer neuen optimierten Marketingstrategie & bessere
Positionierung am Markt",2007,2008,,"4,000.00"
1189,Wiesmoor Gärtnerei und Baumschule GmbH,"Entwicklung einer langfristigen Strategie für einen Markenauftri tt
des Unternehmens",2009,,"5,000.00",
1190,Wilfried Eisenacher Elektrotechnik GmbH,Erweiterung einer Betriebsstätte,2008,,"112,500.00",
1191,Wilfried Steven Bauunternehmen,"Begleitung und konzeptionelle Beratung zur Planung und
Durchführung einer Unternehmensnachfolge",2008,,"4,000.00",
1192,Wilhelm Hebenstreit GmbH,Gewinnung von Beteiligungsinvestoren,2008,,"10,000.00",
1193,Wilhelm Höing Gartenbaubetrieb,"Konzeptionelle, begleitende und moderierende Beratung zur
Planun g und Durchführung der Unternehmensübergabe",2009,,"8,000.00",
1196,Wilhelm-Busch-Gesellschaft e.V. Hannover,Hannover goes fashion,2008,,"1,058,991.50",
1197,Wilken GmbH,"Neuentwicklung eines Kunststoff-Abschlusselements als
Abdeckung für Türränder",2008,,"79,700.00",
1198,Willen Service GmbH,Erweiterung der Kompetenzentwicklung zur Marketingstrategie,2009,2009,,"4,000.00"
1199,Willen Service GmbH,"Neuausrichtung und Kompetenzentwicklung zur
Marketingstrategie",2007,2008,,"6,000.00"
1200,Wink Stanzwerkzeuge GmbH & Co. KG,"Entwicklung eines Prototypen ""Magnetischer Ausblaszylinder""",2008,,"9,090.00",
1201,Wintermann GmbH,Erschließung neuer Kundenpotentiale,2008,2009,,"3,200.00"
1202,"Wirtschafts- und Tourismusförder- gesellschaft Landkreis
Peine mbH","Technologietransferberatungen im Bereich Peine-Salzgitter-
Hildesheim",2009,,"434,220.00",
1203,Wirtschaftsförderkreis Harlingerland e.V,"Gutachten für optimierte Touristen-Logistik an der Nordsee,
Verbesserung der Personenbeförderung von und zu den Inseln",2009,,"43,200.00",
1204,Wirtschaftsförderung Wilhelmshaven GmbH,Wissens- und Technologietransfer,2008,,"47,320.00",
1205,wissenswerft GmbH,Einstellung eines Hochschulabsolventen,2008,,"6,000.00",
1206,Witte Haustechnik,Durchführung einer optimalen Nachfolge,2008,,"5,000.00",
1207,WKS Kaufhaus GmbH,Definition einer Marketingstrategie,2008,2008,,"1,400.00"
1208,Wohnsinn Heinz Meyer,"Entwicklung eines Marketingkonzeptes zur Unterstützung der
weiteren Geschäftsentwicklung/Umsatzsteigerung",2008,,"4,800.00",
1209,Wolfgang Neukäter - Vermietung,Entwicklung und Umsetzung eines Marketingkonzeptes,2008,2008,,"10,000.00"
1210,Wollny Personal,Planung und Vorbereitung einer Nachfolge,2009,,"10,000.00",
1211,Wurmbergseilbahn GmbH & Co. KG,Neupositionierung der Wurmbergseilbahn,2008,2008,,"6,150.00"
1212,WWO-Elektrotechnik GmbH,Entwicklung eines strategischen Marketinginstrumentes,2008,,"6,000.00",
1213,Zielsicht Wirtschaftsberatung,Einstellung eines Hochschulabsolventen,2008,,"6,000.00",
1214,Zimmerei Holger Mechmershausen,"Erstellung eines Marketingkonzeptes mit den Schwerpunkten
zielgruppenorientiertes Marketing und Marktanalyse",2008,2008,,"6,000.00"
1215,Zimmerei Spille GmbH,Optimierung der MArketingstrategie und  - kompetenz,2009,,"10,000.00",
1216,Zoo Hannover GmbH,"Erweiterung des Zoos Hannover um die Alaskalandschaft ""Yukon
Bay""",2008,,"22,727,601.36",
1217,Zoogesellschaft Osnabrück e.V.,"Takamanda, Süderweiterung des Zoos Osnabrück",2008,,"5,000,000.00",
1218,Zweckverband ecopark,Zweiter Bauabschnitt B-Plan ecopark Nr.1 des interkommunalen Gewerbeparks ecopark,2008,,"1,284,300.00",
1222,Zweckverband Erholungsgebiet Thülsfelder Talsperre,Entwicklungsstudie Erholungsgebiet Thülsfelder Talsperre,2009,,"46,053.00",
1223,Zweckverband Naturpark Wildeshauser Geest,"Naturverträglicher Kanutourismus im Landschaftsschutzgebiet
""Mittlere Hunte""",2008,,"70,000.00",
 ,, ,,,,
,,,,,, 
