Nazwa beneficjenta,Tytul projektu,Program Operacyjny,Dzialanie,Poddzialanie,Wartosc ogolem,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyplacenia ostatniej raty
"Centrum Edukacyjno Consultingowe ""CONCRET"" Anna Urbańska",PIERWSZY KROK NA RYNEK PRACY,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"330,945.00","317,757.39",2008,2010
"Centrum Edukacyjno Consultingowe ""CONCRET"" Anna Urbańska",Pracuj bezpiecznie - kompleksowe szkolenie dla pracowników gospodarstw rolnych,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"45,435.20","41,413.00",2008,2010
"Centrum Edukacyjno Consultingowe ""CONCRET"" Anna Urbańska",Wzrost konkurencyjności firmy CONCRET na dynamicznie rozwijającym sie rynku usług szkoleniowych.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.1. Wsparcie inwestycji mikroprzedsiębiorstw,"260,018.60","180,751.39",2008,2010
"Centrum Edukacyjno-Rozwojowe ""AUCTUS"" Paweł Skotnicki",Innowacja - odnawialne źródła energii,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,789.00","47,005.33",2008,2010
Centrum Euroedukacji Sp. z o.o.,Romska Fiesta - warsztaty dla instytucji. ,Program Operacyjny Kapitał Ludzki,1.3. Ogólnopolskie programy integracji i aktywizacji zawodowej,1.3.1. Projekty na rzecz społeczności romskiej,"252,936.00","247,373.66",2008,2010
Centrum Ewaluacji i Zarządzania Projektami,Przedszkole dla małych Europejczyków,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.1 Zmniejszanie nierówności w stopniu upowszechnienia edukacji przedszkolnej,"56,202.00","51,605.94",2009,2010
"Centrum Finansowo - Inwestycyjne ""Partner"" Marek Ciastoch",Nowe kwalifikacje - nowa jakość,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"624,286.83","581,614.58",2008,2010
Centrum Finansowo-Szkoleniowe UNION Sp. z o.o.,Promocja rozwoju ekonomii społecznej i jej podmiotów na Śląsku,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.2 Wsparcie ekonomii społecznej,"302,211.37","289,377.23",2008,2010
"Centrum Fitness Lady-Fit, Fitness Efekt Piotr Lipiński",Akademia instruktorów,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"310,843.20","298,167.04",2008,2010
Centrum Fizjoterapii Fizjofit Spółka z o.o. ,Wzrost konkurencyjności i rozszerzenie zakresu usług Centrum Fizjoterpii Fizjofit poprzez zakup nowoczesnego sprzętu diagnostyczno-rehabilitacyjnego,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"332,331.30","199,398.78",2008,2009
Centrum Fizjoterapii Fizjofit Spółka z o.o. ,Wprowadzenie innowacyjnej rehabilitacji ortopedycznej i wzrost konkurencyjności Centrum Fizjoterapii FIZJOFIT poprzez zakup nowoczesnego sprzętu medycznego.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.3. Innowacje w mikroprzedsiębiorstwach i MŚP,"270,000.00","149,653.32",2009,2010
Centrum Funduszy Europejskich Strona i Wspólnicy Spółka Jawna,Stymulowanie rozwoju firmy poprzez zmianę procesu produkcyjnego i organizacyjnego dzięki uruchomieniu elektronicznych procesów biznesowych w CFE.,Program Operacyjny Innowacyjna Gospodarka,8.2. Wspieranie wdrażania elektronicznego biznesu typu B2B,,"98,360.00","56,040.00",2008,2010
Centrum Informatyki ZETO Spółka Akcyjna,"Integracja systemów informatycznych i portalu WWW - komputeryzacja procesów biznesowych firmy informatycznej i Domów Książki.
",Program Operacyjny Innowacyjna Gospodarka,8.2. Wspieranie wdrażania elektronicznego biznesu typu B2B,,"1,477,727.00","743,108.13",2008,2010
Centrum Inicjatyw Lokalnych,Agroturystyka szansą na rozwój w gminie Ogrodzieniec i Pilica,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"45,080.00","45,080.00",2008,2009
Centrum Inicjatyw Lokalnych,Nowe perspektywy - promocja integracji społecznej na terenie gminy Ogrodzieniec,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"40,800.00","40,800.00",2008,2009
Centrum Inicjatyw Lokalnych,Agroturystyka szansą na rozwój w Gminie Włodowice,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"37,580.00","37,580.00",2008,2010
Centrum Inicjatyw Lokalnych,Start w lepszą przyszłość - promocja integracji społecznej na terenie gminy Pilica,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"40,320.00","40,320.00",2008,2010
Centrum Inicjatyw Lokalnych,Agroturystyka szansą na rozwój w Gminie Kroczyce,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"37,380.00","37,380.00",2008,2010
Centrum Inicjatyw Lokalnych,Po wspólny sukces - promocja integracji społecznej na terenie gminy Łazy,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"40,320.00","40,320.00",2008,2009
"Centrum Inicjatyw Lokalnych ""Łączna""","""Razem dla małej ojczyzny, razem dla nas"" - wsparcie integracji i inicjatyw lokalnych w gminie Łączna",Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"46,422.00","46,271.22",2008,2009
Centrum Inicjatyw Obywatelskich,ABC Ekonomii Społecznej na Pomorzu,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.2 Wsparcie ekonomii społecznej,"299,400.24","286,091.34",2008,2009
Centrum Inicjatyw Obywatelskich,IMPULS - szkolenia i doradztwo dla sektora ES,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.2 Wsparcie ekonomii społecznej,"155,047.24","127,729.53",2008,2010
Centrum Innowacji i Transferu Technologii Lubelskiego Parku Naukowo - Technologicznego Sp. z o.o,Przedsiębiorczy naukowiec - szkolenia dla pracowników naukowych uczelni z województwa lubelskiego,Program Operacyjny Kapitał Ludzki,4.2. Rozwój kwalifikacji kadr systemu B+R i wzrost świadomości roli nauki w rozwoju gospodarczym,,"283,754.00","283,260.57",2008,2010
Centrum Innowacyjnego Rozwoju Społeczeństwa,Działamy lokalnie! Od pomysłu do projektu.,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,486.00","49,250.60",2008,2009
Centrum Innowacyjnego Rozwoju Społeczeństwa ,50plus: siła w doświadczeniu,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"664,441.57","664,250.12",2008,2010
Centrum Integracji Europejskiej Szkoła Języków Obcych i Rozwoju Przedsiębiorczości w Złotowie,"""Edukacja szansą na przyszłość""",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,575.55","49,528.17",2008,2009
Centrum Integracji Europejskiej Szkoła Języków Obcych i Rozwoju Przedsiębiorczości w Złotowie,"""Reorganizacja w rolnictwie""",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,889.38","49,766.42",2009,2010
Centrum Integracji i Rozwoju Regionalnego,Siła sprawcza - kreowanie inicjatyw przeciw wykluczeniu społecznemu,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,692.00","47,489.92",2008,2009
Centrum Integracji i Rozwoju Regionalnego,Letnia edukacja na rzecz inicjatyw przeciw wykluczeniu społecznemu,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,692.00","47,966.66",2008,2009
Centrum Integracji i Rozwoju Regionalnego,Wspólna sprawa,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"48,607.00","48,602.14",2008,2009
Centrum Integracji i Rozwoju Regionalnego,Szkoła liderów - budowa kadr dla projektów społecznych,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,692.00","48,562.02",2008,2009
Centrum Integracji i Rozwoju Regionalnego,Lider - szkoła kadr dla projektów na rzecz aktywnej integracji ,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,692.00","48,409.74",2008,2009
Centrum Integracji i Rozwoju Regionalnego,By chciało się chcieć,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,318.00","49,318.00",2007,2009
Centrum Integracji Społecznej CISTOR,Wracamy - program aktywizacji zawodowej kobiet wychowujących dzieci,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"462,462.19","458,630.74",2008,2010
Centrum Integracji Społecznej w Staszowie,Nowe umiejętności - nowe możliwości,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"699,319.00","618,040.61",2008,2010
Centrum Języka Angielskiego NTV ENGLISH ,Mali Europejczycy,Program Operacyjny Kapitał Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jakości usług edukacyjnych świadczonych w systemie oświaty,9.1.2 Wyrównywanie szans edukacyjnych uczniów z grup o utrudnionym dostępie do edukacji oraz zmniejszanie różnic w jakości usług edukacyjnych,"208,313.00","207,395.06",2008,2009
Centrum Językowe LANDER'S,Gotowe na sukces,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"420,652.50","411,862.97",2008,2009
Centrum Językowe LANDER'S,Czas na certyfikat,Program Operacyjny Kapitał Ludzki,9.3. Upowszechnienie formalnego kształcenia ustawicznego,,"329,965.00","285,784.82",2008,2009
Centrum Językowe Masterlang Marek Leśniak,Rozwój potencjału zasobów ludzkich Podkarpacia poprzez szkolenia,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"568,957.00","528,446.22",2007,2009
Centrum Języków Obcych i Edukacji Poliglotus,No problem - wykwalifikowany językowo pracownik służb porządkowych i medycznych,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"879,570.00","877,349.17",2008,2010
Centrum Klima Spółka Akcyjna,Oferta publiczna Centrum Klima S.A. drogą do pozyskania kapitału na rozwój działalności przedsiębiorstwa.,Program Operacyjny Innowacyjna Gospodarka,3.3. Tworzenie systemu ułatwiającego inwestowanie w MSP,3.3.2. Wsparcie dla MSP,"1,634,800.00","670,000.00",2008,2010
Centrum Kompetencji Grupa Szkoleniowo - Doradcza Ewa Gawrońska,"Aktywizacja zawodowa kobiet pozostających bez zatrudnienia, zamieszkałych na terenie powiatu wągrowieckiego.",Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"715,309.00","706,561.48",2008,2009
Centrum Kompetencji Grupa Szkoleniowo - Doradcza Ewa Gawrońska,"DZIECKO POTRAFI, program edukacyjno-artystyczny na rzecz rozwoju przedszkola wiejskiego w Jabłkowie , w powiecie wągrowieckim. ",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,986.00","48,330.99",2009,2010
Centrum Kompetencji Grupa Szkoleniowo - Doradcza Ewa Gawrońska,PRZEPISY NA PRZEDSZKOLNE POPISY Projekt edukacyjno-artystyczny na rzecz rozwoju przedszkola w miejscowości Łopuchowo w powiecie poznańskim,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,954.80","46,735.23",2008,2009
Centrum Komputerowe ZETO S.A.,Akademia Młodych Specjalistów IT,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"580,436.20","552,629.54",2008,2010
Centrum Koordynacji Projektów Środowiskowych,RPD sektora środowisko na lata 2007-2008 (CKPŚ),Program Operacyjny Infrastruktura i Środowisko,XV.1. Sprawne zarządzanie programem,,"2,402,774.79","1,624,963.02",2008,2009
Centrum Koordynacji Projektów Środowiskowych,RPD sektora środowisko na lata 2007-2008 (CKPŚ),Program Operacyjny Infrastruktura i Środowisko,XV.2. Informacja i promocja,,"185,219.46","113,605.51",2008,2009
Centrum Kstzałcenia Ustawicznego w Zespole Szkół Zawodowych im. S.Staszica,"Potrafię, więc mogę",Program Operacyjny Kapitał Ludzki,9.3. Upowszechnienie formalnego kształcenia ustawicznego,,"495,118.00","490,631.62",2008,2010
Centrum Kształcenia Języków Obcych SUPREME Magdalena Kozłowska,"""Język obcy nie całkiem obcy""",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,979.00","49,021.86",2008,2010
"Centrum Kształcenia Kadr ""Omega""",Cukiernicy dla Lubelszczyzny,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"252,636.00","250,919.97",2008,2009
Centrum Kształcenia Kadr Anita Graczyk,Profesjonalne szkolenie szansą na atrakcyjne zatrudnienie,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"818,118.00","775,576.40",2008,2010
Centrum Kształcenia Kadr Anita Graczyk,Kwalifikacje zawodowe drogą do sukcesu,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"438,217.00","438,511.10",2008,2010
Centrum Kształcenia Kursowego Spółka z ograniczoną odpowiedzialnością,Warto pomagać - promocja idei integracji społecznej i równości szans wśród osób zawodowo wspierających środowiska zagrożone wykluczeniem i dyskryminacją,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"257,600.00","226,796.62",2008,2010
"Centrum Kształcenia Policealnego i Usług Szkoleniowych ""Docendi""",Aktywizacja społeczna i zawodowa - kompleksowy program dla powiatu puckiego i wejherowskiego,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"315,495.80","306,449.98",2008,2010
Centrum Kształcenia Praktycznego,Nowoczesne technologie wytwarzania - Twoje lepsze jutro,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"153,640.00","145,897.50",2007,2009
Centrum Kształcenia Praktycznego i Doskonalenia Nauczycieli w Mielcu,Nauczyciele kształcenia zawodowego wobec wyzwań gospodarki opartej na wiedzy,Program Operacyjny Kapitał Ludzki,3.4. Otwartość systemu edukacji w kontekście uczenia się przez całe życie,3.4.3. Upowszechnienie uczenia się przez całe życie - projekty konkursowe,"358,878.12","347,908.70",2008,2010
Centrum Kształcenia Praktycznego i Doskonalenia Nauczycieli w Mielcu,"Akademia umiejętności II - szkolenia zawodowe, informatyczne i językowe",Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"636,127.02","592,088.59",2007,2010
Centrum Kształcenia Praktycznego i Ustawicznego w Ełku,Nowe kwalifikacje szansą na zmianę zawodu,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.2 Wsparcie procesów adaptacyjnych i modernizacyjnych w regionie,"521,735.00","483,736.25",2008,2009
Centrum Kształcenia Praktycznego w Puławach,Wykwalifikowany pracownik atutem Lubelszczyzny. Szkolenia zawodowe podnoszące kwalifikacje pracowników,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"299,661.00","293,133.61",2008,2009
Centrum Kształcenia Praktycznego w Stalowej Woli,Kształcenie ustawiczne szansą osób w wieku powyżej 45 lat na nabycie nowych lub podwyższanie kwalifikacji i umiejętności zawodowych,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"390,000.00","379,508.80",2007,2009
"Centrum Kształcenia Proeuropejskiego Policealne Studium Zarządzania, Administracji i Handlu",Wiedza kluczem rozwoju zawodowego,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"203,618.00","198,605.72",2009,2010
Centrum Kształcenia Specjalistycznego Polskiej Korporacji Biznesu POLBI Sp. z o.o.,Księgowość + kadry i płace,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"231,402.00","227,899.60",2007,2008
Centrum Kształcenia Specjalistycznego Polskiej Korporacji Biznesu POLBI Sp.z o.o.,Księgowość OK!,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"772,058.00","771,011.39",2008,2009
