Województwo,Numer i nazwa Priorytetu,Numer i nazwa Dzia_ania,Nazwa beneficjenta,Tytu_ projektu,Data rozpocz_cia realizacji projektu,Data zako_czenia realizacji projektu,Data podpisania umowy,Warto_ci ogó_em projektu
,,,Miejski O_rodek Pomocy Spo_ecznej we W_odawie,Aktywna integracja osób d_ugotrwale korzystaj_cych z pomocy,2-Jan-12,1-Jan-13,16-Jul-12,69158.64
,,,Miejskie Centrum Pomocy Rodzinie w Zamo_ciu,Przeciwdzia_anie wykluczeniu spo_ecznemu na terenie miasta Zamo_cia,2-Jan-12,1-Jan-13,19-Jul-12,535055.71
,,,MiejskoGminny O_rodek Pomocy Spo_ecznej w Zwierzy_cu,Promocja integracji spo_ecznej poprzez podniesienie kwalifikacji mieszka_ców Miasta Gminy Zwierzyniec oraz powi_zanie ich z rynkiem pracy,2-May-12,1-Jan-13,18-Jul-12,34897.8
,,,Miejsko-Gminny O_rodek Pomocy Spo_ecznej we Frampolu,Aktywizacja spo_eczno zawodowa osób d_ugotrwale bezrobotnych,2-Apr-12,1-Jan-13,15-Aug-12,32692.38
,,,MOPS STOCZEK _UKOWSKI - MIASTO,KA_DEMU MO_NA POMÓC,2-Jan-12,1-Jan-13,15-Oct-12,15407.44
,,,Osrodek Pomocy Spo_ecznej W Michowie,Nowe umiejetno_ci kapita_em na przysz_o_c- promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Michów,2-Jan-12,1-Jan-13,21-Aug-12,43458.47
,,,Osrodek Pomocy Spo_ecznej w Rudzie - Hucie,Razem mo_emy wi_cej ,2-Jan-12,1-Jan-13,24-Sep-12,42828.96
,,,O_rodek Pomocy Spolecznej w Zakrzówku,Program wspierania aktywnej integracji zawodowej w Gminie Zakrzówek,2-Jan-12,1-Jan-13,17-Jul-12,29071.5
,,,O_rodek Pomocy Spo_ecznej - Józefów nad Wis__,Efektywna pomoc spo_eczna w Gminie Józefów nad Wis__,2-Jan-12,1-Jan-13,4-Nov-12,37814.91
,,,O_rodek Pomocy Spo_ecznej Gminy Che_m,Syzyf-aktywizacja spo_eczno-zawodowa bezrobotnych z terenu gminy Che_m,2-Mar-12,1-Jan-13,19-Jul-12,57291.5
,,,O_rodek Pomocy Spo_ecznej Poniatowej,Efektywna pomoc spo_eczna w gminie Poniatowa,2-Jan-12,1-Jan-13,11-Oct-12,68285.23
,,,O_rodek Pomocy Spo_ecznej w Annopolu,Przysz_o__ to ju_ jutro - promocja aktywnej integracji spo_ecznej i zawodowej w gminie Annopol,2-Jan-12,1-Jan-13,25-Jul-12,71926.08
,,,O_rodek Pomocy Spo_ecznej w Be__ycach,"Odkrywamy talenty, rozwijamy skrzyd_a",2-Apr-12,1-Jan-13,30-Aug-12,68710.24
,,,O_rodek Pomocy Spo_ecznej w Bychawie,Pomagamy sobie,2-Jan-12,1-Jan-13,29-Oct-12,40834.56
,,,O_rodek Pomocy Spo_ecznej w Cycowie,Dajmy sobie szans_,2-Mar-12,1-Jan-13,25-Jul-12,38046.72
,,,O_rodek Pomocy Spo_ecznej w D_blinie,Ma_y krok - du_y efekt,10-Jun-12,1-Jan-13,19-Jul-12,82899.97
,,,O_rodek Pomocy Spo_ecznej w Dorohusku,Teraz My,2-Jun-12,1-Jan-13,12-Aug-12,47000
,,,O_rodek Pomocy Spo_ecznej w Dubience,Aktywizacja osób bezrobotnych w gminie Dubienka,2-Jan-12,1-Jan-14,31-Oct-12,35528.96
,,,O_rodek Pomocy Spo_ecznej w Dzierzkowicach,Program aktywizacji zawodowej w gminie Dzierzkowice,2-Apr-12,1-Jan-13,14-Aug-12,25368.98
,,,O_rodek Pomocy Spo_ecznej w Dzwoli,Szansa na samodzielno__,2-Mar-12,1-Jan-13,16-Jul-12,102072.32
,,,O_rodek Pomocy Spo_ecznej w Fajs_awicach,Fajs_awicki sposób na aktywn_ integracj_ osób d_ugotrwale bezrobotnych,2-Jul-12,1-Jan-13,18-Sep-12,14514.14
,,,O_rodek Pomocy Spo_ecznej w Firleju,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gmine Firlej,2-Jan-12,1-Jan-13,19-Sep-12,40704.83
,,,O_rodek Pomocy Spo_ecznej w Godziszowie,Wspieranie integracji spo_ecznej i zawodowej na terenie Gminy Godziszów,2-Jan-12,1-Jan-13,10-Jul-12,110222.88
,,,O_rodek Pomocy Spo_ecznej w Go_cieradowie,O_rodek Pomocy Spo_ecznej w Go_cieradowie to: Integracja - Aktywno__ - Pomoc - Sukces,2-Jan-12,1-Jan-13,1-Jul-12,53964.96
,,,O_rodek Pomocy Spo_ecznej w Janowie Lubelskim,Pierwszy krok do powrotu - integracja spo_eczna i zawodowa osób zagro_onych wykluczeniem spo_ecznym,2-Jan-12,1-Jan-13,19-Jul-12,50684.16
,,,O_rodek Pomocy Spo_ecznej w Jeziorzanach,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Jeziorzany,2-Jan-12,1-Jan-13,19-Aug-12,24588.73
,,,O_rodek Pomocy Spo_ecznej w Kamionka,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Kamionka,2-Jan-12,1-Jan-13,15-Aug-12,74775.32
,,,O_rodek Pomocy Spo_ecznej w Karczmiskach,Efektywna Pomoc Spo_eczna w Gminie Karczmiska,2-Jan-12,1-Jan-13,13-Aug-12,31341.91
,,,O_rodek Pomocy Spo_ecznej w Kazimierzu Dolnym,EFEKTYWNA POMOC SPO_ECZNA W GMINIE KAZIMIERZ DOLNY,2-May-12,1-Jan-13,19-Aug-12,25664.66
,,,O_rodek Pomocy Spo_ecznej w Kocku,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Kock,2-Jan-12,1-Jan-13,31-Oct-12,79873.19
,,,O_rodek Pomocy Spo_ecznej w Ko_skowoli,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Ko_skowola,2-Jan-12,1-Jan-13,24-Sep-12,31125.15
,,,O_rodek Pomocy Spo_ecznej w Krzczonowie,"""Lepsze jutro""-program aktywizacji spo_eczno-zawodowej osób bezrobotnych w gminie Krzczonów",2-Mar-12,1-Jan-13,16-Jul-12,58598.83
,,,O_rodek Pomocy Spo_ecznej w Kurowie,Efektywna pomoc spo_eczna w Gminie Kurów,2-Jan-12,1-Jan-13,10-Dec-12,32809.21
,,,O_rodek Pomocy Spo_ecznej w Ludwinie,Persona - reaktywacja,2-Jan-12,1-Jan-13,1-Oct-12,27799.56
,,,O_rodek Pomocy Spo_ecznej w _aszczowie,Pan samochodzik,2-Apr-12,1-Jan-13,16-Jul-12,31222.84
,,,O_rodek Pomocy Spo_ecznej w _aziskach,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie _aziska,2-Jan-12,1-Jan-13,18-Oct-12,29104.51
,,,O_rodek Pomocy Spo_ecznej w Me_gwi,Inwestuj w siebie!,2-Jan-12,1-Jan-13,16-Jul-12,77133.74
,,,O_rodek Pomocy Spo_ecznej w Milejowie,Wiara w zasoby ludzkie- tworzenie równych szans rozwoju dla ludzi pozostajacych d_ugotrwale bez pracy.,2-Jan-12,1-Jan-13,27-Aug-12,53737.72
,,,O_rodek Pomocy Spo_ecznej w Niedrzwicy Du_ej,Aktywne formy integracji spo_ecznej dla osób zagro_onych wykluczeniem spo_ecznym - projekt systemowy gminy Niedrzwica Du_a,2-Jan-12,1-Jan-13,23-Aug-12,52419.83
,,,O_rodek Pomocy Spo_ecznej w Nied_wiadzie,Nowe umiejetno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Nied_wiada,2-Jan-12,1-Jan-13,29-Jul-12,38366.63
,,,O_rodek Pomocy Spo_ecznej w Niemcach,"""Krok do przodu - aktywa polityka spo_eczna w Gminie Niemce""",2-Mar-12,1-Jan-13,19-Sep-12,88680.12
,,,O_rodek Pomocy Spo_ecznej w Nowodworze,Program aktywnej integracji w Gminie Nowodwór,2-May-12,1-Jan-13,14-Oct-12,14817.68
,,,O_rodek Pomocy Spo_ecznej w Opolu Lubelskim,Praca - perspektywa lepszego jutra,2-Sep-12,1-Jan-13,31-Oct-12,95175.11
,,,O_rodek Pomocy Spo_ecznej w Ostrowie Lubelskim,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Ostrów Lubelski,2-Jan-12,1-Jan-13,16-Sep-12,26410.04
,,,O_rodek Pomocy Spo_ecznej w Ostrówku,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Ostrówek,2-Jan-12,1-Jan-13,16-Sep-12,28912.33
,,,O_rodek Pomocy Spo_ecznej w Piaskach,"Program aktywizacji zawodowej w gminie Piaski - ""Teraz Ja""adresowany do bezrobotnych oraz nieaktywnych zawodowo kobiet.",2-Sep-12,1-Jan-13,3-Oct-12,28809.13
,,,O_rodek Pomocy Spo_ecznej w Potoku Wielkim,Czas na aktywno__ w Gminie Potok Wielki,3-Jun-12,1-Jan-13,6-Jun-12,34183.11
,,,O_rodek Pomocy Spo_ecznej w Puchaczowie,Spektrum mo_liwo_ci,2-Mar-12,1-Jan-13,20-Sep-12,21689.58
,,,O_rodek Pomocy Spo_ecznej w Rykach,Ka_dy chce mie_ szans_ - pomoc osobom niepe_nosprawnym w gminie Ryki,2-Jun-12,1-Jan-13,25-Sep-12,154081.92
,,,O_rodek Pomocy Spo_ecznej w Sernikach,Nowe umiej_tno_ci kapita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie Serniki,2-Jan-12,1-Jan-13,24-Sep-12,29671.22
,,,O_rodek Pomocy Spo_ecznej w Sosnowicy,Aktywizacja osób zagro_onych wykluczeniem korzystaj_cych z pomocy spo_ecznej - chc_ by_ aktywny zawodowo,2-Apr-12,1-Jan-13,2-Oct-12,25737.58
,,,O_rodek Pomocy Spo_ecznej w St__ycy,Szansa na usamodzielnienie,2-May-13,1-Jan-14,22-Sep-13,28000
,,,O_rodek Pomocy Spo_ecznej w Strzy_ewicach,Nowe kwalifikacje twoj_ szans_ na prac_,2-Jan-12,1-Jan-13,4-Oct-12,24390.71
,,,O_rodek Pomocy Spo_ecznej w Szastarce,Program aktywizacji spo_eczno - zawodowej osób bezrobotnych w Gminie Szastarka,2-Mar-12,1-Jan-13,19-Jul-12,66624.16
,,,O_rodek Pomocy Spo_ecznej w Szczebrzeszynie,Nie wszystko stracone przeciwdzia_anie wykluczeniu spo_ecznemu osób d_ugotrwale bezrobotnych,2-Apr-12,1-Jan-13,19-Jul-12,109685.15
,,,O_rodek Pomocy Spo_ecznej w Trzydniku Du_ym,Uwierz w siebie-integracja spo_eczna w gminie Trzydnik Du_y,2-Apr-12,1-Jan-13,16-Jul-12,28872.76
,,,O_rodek Pomocy Spo_ecznej w U_cimowie,Nowe umiej_tno_ci kpita_em na przysz_o__ - promocja aktywnej integracji spo_ecznej i zawodowej w Gminie U_cimów,2-May-12,1-Jan-13,3-Oct-12,18385.75
,,,O_rodek Pomocy Spo_ecznej w W_wolnicy,Program aktywizacji spo_eczno-zawodowej bezrobotnych w Gminie W_wolnica,2-Jan-12,1-Jan-13,22-Jul-12,27222.28
,,,O_rodek Pomocy Spo_ecznej w Wierzbicy,Wspólna sprawa wspólne dobro,2-Jan-12,1-Jan-13,18-Jul-12,38462.22
,,,O_rodek Pomocy Spo_ecznej w Wilkowie,Aktywna integracja w gminie Wilków,2-Jan-13,1-Jan-14,17-Jun-13,24000
,,,O_rodek Pomocy Spo_ecznej w Wojciechowie,Stwórzmy Sobie Szans_,2-Mar-12,1-Jan-13,19-Sep-12,28752.75
,,,O_rodek Pomocy Spo_ecznej w Wólce,Chwytaj szans_,2-Apr-12,1-Jan-13,26-Jul-12,73353.44
,,,O_rodek Pomocy Spo_ecznej w _mudzi,Kazdy potrafi zrobi_ wiele jesli tylko spróbuje,2-Jan-12,1-Jan-13,14-Aug-12,20401.13
,,,O_rodek Pomocy Spo_ecznej w _yrzynie,Nowe kwalifikacje-szans_ umozliwiaj_c_ integracj_ zawodow_ i spo_eczn_ w Gminie _yrzyn,2-Jan-12,1-Jan-13,19-Jul-12,23845.92
,,,O_rodek Pomocy Spo_ecznej we W_odawie,Droga do samodzielno_ci,2-Jan-12,1-Jan-13,5-Aug-12,43497.27
,,,O_rodek Pomocy Spo_ecznej Wilko_az,PROGRAM AKTYWIZACJI ZAWODOWEJ W GMINIE WILKO_AZ - TWOJA SZANSA,2-May-12,1-Jan-13,22-Jul-12,19039.63
,,,Powiat Lubartowski / Powiatowe Centrum Pomocy Rodzinie,Program aktywizacji spo_eczno - zawodowej beneficjentów Powiatowego Centrum Pomocy Rodzinie w Lubartowie,2-Jan-13,1-Jan-14,4-Aug-13,260000
,,,Powiatowe Centrum  Pomocy Rodzinie w Hrubieszowie,Stajemy si_ lepsi,2-Jan-12,1-Jan-13,26-Jun-12,134729.16
,,,Powiatowe Centrum  Pomocy Rodzinie w Lublinie,Aktywno__ - Twoja szansa na samodzielno__,2-Jan-12,1-Jan-13,22-Jul-12,331210
,,,Powiatowe Centrum Pomocy Rodzinie w Bi_goraju,Twoja aktywno__ - Twoj_ szans_,2-Jan-12,1-Jan-13,20-Sep-12,227721.57
,,,Powiatowe Centrum Pomocy Rodzinie w Che_mie,Start,2-Jan-12,1-Jan-13,9-Jul-12,248535
,,,Powiatowe Centrum Pomocy Rodzinie w Janowie Lubelskim,Integracja i wsparcie osób i rodzin zagro_onych wykluczeniem spo_ecznym z terenu powiatu janowskiego poprzez tworzenie nowych form wsparcia indywidualnego i _rodowiskowego,2-Jan-12,1-Jan-13,15-Jul-12,133508.79
,,,Powiatowe Centrum Pomocy Rodzinie w Krasnymstawie,Samodzielno__ drog_ do aktywno_ci _yciowej,2-Apr-12,28-Feb-13,22-Aug-12,220399.34
,,,Powiatowe Centrum Pomocy Rodzinie w Kra_niku,Dobry start,2-Jan-12,1-Jan-13,14-Aug-12,267017.32
,,,Powiatowe Centrum Pomocy Rodzinie w __cznej,Lepsze jutro zwi_kszeniem szans na samodzielno__,2-Mar-12,1-Jan-13,7-Aug-12,109344
,,,Powiatowe Centrum Pomocy Rodzinie w _ukowie,Aktywizacja - szansa na lepsz_ przysz_o__,2-Mar-12,1-Jan-13,29-Jul-12,211612.65
,,,Powiatowe Centrum Pomocy Rodzinie w Opolu Lubelskim,Program wsparcia spo_eczno-zawodowego osób opuszczaj_cych placówki opieku_czo-wychowawcze i rodziny zast_pcze oraz osób niepe_nosprawnych z powiatu opolskiego,2-Jan-12,1-Jan-13,16-Jul-12,166212.26
,,,Powiatowe Centrum Pomocy Rodzinie w Parczewie,Lepszy start w doros_e _ycie,2-Jan-12,1-Jan-13,5-Sep-12,108613.18
,,,Powiatowe Centrum Pomocy Rodzinie w Pu_awy,Samodzielni- nie sami,2-Jan-12,1-Jan-13,25-Jul-12,321202.13
,,,Powiatowe Centrum Pomocy Rodzinie w Radzyniu Podlaskim,PRZE_AMA_ NIEMOC,2-Jan-13,1-Jan-14,16-Apr-13,150000
,,,Powiatowe Centrum Pomocy Rodzinie w Rykach,Program upowszechniania aktywnej integracji w_ród osób niepe_nosprawnych oraz wychowanków opuszczaj_cych placówki i rodziny zast_pcze,2-Jan-12,1-Jan-13,2-Oct-12,188913.72
,,,Powiatowe Centrum Pomocy Rodzinie w _widniku,Krok w przysz_o__-program aktywizacji zawodowej poprzez dokszta_canie i podnoszenie kwalifikacji osób zagro_onych wykluczeniem spo_ecznym w Powiecie _widnickim,2-Mar-12,1-Jan-13,9-Jul-12,195747.8
,,,Powiatowe Centrum Pomocy Rodzinie w Tomaszowie Lubelskim,Aktywno__ szans_ rozwoju,2-Jan-12,1-Jan-13,1-Aug-12,186717.06
,,,Powiatowe Centrum Pomocy Rodzinie w Zamo_ciu,Lepsze jutro,2-Jan-13,1-Jan-14,11-Sep-13,190000
,,,Powiatowe Centrum Pomocy Rodzinie we W_odawie,Rozwój i upowszechnianie aktywnej integracji przez Powiatowe Centrum Pomocy Rodzinie we W_odawie,2-Jan-12,1-Jan-13,18-Jul-12,127089.03
,,,Powiatowe Centrum Rodzinie w Bia_ej Podlaskiej,Uwierz w siebie - dokonaj metamorfozy !,2-Jun-12,1-Jan-13,15-Aug-12,229534.08
,,,Regionalny O_rodek Polityki Spo_ecznej w Lublinie,Szkolenia podnosz_ce kwalifikacje pracowników pomocy i integracji spo_ecznej,2-Oct-11,1-Jan-18,13-Dec-11,177000
,,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,Akademickie Stowarzyszenie Inicjatyw Spo_eczno - Edukacyjnych,Gminne problemy spo_eczne,2-Sep-13,1-Sep-14,29-Aug-13,280698
,,,Bialskopodlaska Lokalna Grupa Dzia_ania,50 plus nowe umiej_tno_ci,2-Feb-13,1-Apr-14,14-Feb-13,1097870
,,,Biuro Rachunkowo - Szkoleniowe Irena Klika,Moja szansa,2-Oct-13,1-Apr-15,26-Sep-13,1030832
,,,Biuro RachunkowoSzkoleniowe Irena Klika,Nowoczesny ksi_gowy,2-Feb-13,1-Oct-13,31-Jan-13,435880
,,,,Kreatywny pracownik-szkolenie komputerowe,2-Feb-13,1-Oct-13,31-Jan-13,435536.16
,,,Bractwo Mi_osierdzia im. _w. Brata Alberta,Centrum Ekonomii Spo_ecznej,2-Jan-14,1-Jan-16,4-Dec-13,1330441.3
,,,Caritas Diecezji Siedleckiej,Razem w przysz_o__ ,2-Sep-13,1-Aug-14,18-Dec-13,293257.02
,,,Centrum Samorz_dno_ci i Regionalizmu,Powrót do Przysz_o_ci - wsparcie dla osób zagro_onych wykluczeniem spo_ecznym w województwie lubelskim.,2-Sep-13,1-Nov-14,27-Nov-13,528520.96
,,,"CENTRUM US_UG ""PROFESJA"" SP. Z O.O.",ABC Ekonomii Spo_ecznej I,2-Jan-14,1-Jan-15,16-Dec-13,1398382.3
,,,,STOP PRZEMOCY,2-Jan-14,1-Jan-15,8-Jan-14,1291286.9
,,,CJA British School Zbigniew Misiura,Wa_ny jest ka_dy cz_owiek.,2-Sep-13,1-Oct-14,3-Oct-13,275980.76
,,,Consultor Sp. z o.o.,Prosta droga do pracy,2-Aug-13,31-Aug-14,2-Oct-13,667960
,,,,Nowe kwalifikacje zawodowe kuratorów spo_ecznych,2-Aug-13,1-Aug-14,21-Oct-13,349000
,,,,Ekonomia Spo_eczna - nowe mo_liwo_ci,2-Apr-14,1-Oct-15,30-Jan-14,638073.92
,,,,Sukces ekonomii spo_ecznej - ekonomia spo_ecznego sukcesu,2-Jan-14,1-Mar-15,15-Dec-13,601980
,,,Creator Sp. Z.O.O,Turystyka od kuchni,2-Aug-13,1-Aug-14,16-Sep-13,547573
,,,CREATOR SPÓ_KA Z OGRANICZON_ ODPOWIEDZIALNO_CI_,Klucz do aktywno_ci,2-Aug-13,1-Aug-14,16-Sep-13,759259
,,,Dolce Vita sp. z o.o.,Czas zacz__ dzia_a_. Szkolenia dla osób powracaj_cych na rynek pracy.,2-Sep-13,1-Jan-15,2-Sep-13,807000
,,,Europejski Dom Spotka_ - Fundacja Nowy Staw,RAZEM! - inicjatywy z obszaru ekonomii spo_ecznej,2-Jan-14,1-Jun-15,27-Nov-13,495124.55
,,,"Europerspektywa, Beata Romejko",Lubelskie obserwatorium problemów spo_ecznych,2-Sep-13,1-Sep-14,2-Sep-13,277810
,,,Fuda Agnieszka Laskowska,Wra_liwi spo_ecznie,2-Oct-13,1-May-14,21-Nov-13,185428
,,,Fundacja Fuga Mundi,Potrafisz,2-Jul-13,1-Sep-14,3-Jun-13,719730.18
,,,Fundacja Inicjatyw Lokalnych,Ekonomia Spo_eczna-motorem rozwoju lokalnego,2-Dec-13,2-Nov-15,2-Dec-13,583026.04
,,,,Nowy zawód szans_ na zatrudnienie,2-Aug-13,1-Aug-14,26-Sep-13,299021.85
,,,Fundacja Inicjatyw Mened_erskich,W drodze do lepszego jutra,3-Mar-13,1-Mar-14,3-Mar-13,431530.2
,,,"Fundacja Inicjatyw Spo_ecznych ""Barwy Ziemi""",Nowy zawód-moj_ now_ szans_,2-Oct-13,1-Apr-14,23-Jan-14,298606
,,,Fundacja Instytut Rozwoju Zasobów Ludzkich,Ekonomia spo_eczna szans_ na rozwój,2-Mar-14,1-Oct-15,6-Jan-14,906824.72
,,,Fundacja Q,Nowy Cel,2-Sep-13,31-Aug-14,2-Sep-13,619828.93
,,,Fundacja Rozwoju Demokracji Lokalnej,Partnerstwa na rzecz Ekonomii spo_ecznej,2-Jan-13,1-Jan-14,31-Jan-13,656265.8
,,,,Nowe _cie_ki Ekonomii Spo_ecznej,2-Feb-13,1-Mar-14,11-Feb-13,654704
,,,,Lepsze jutro,2-Aug-13,1-Jul-14,26-Sep-12,570691.75
,,,"Fundacja Rozwoju Edukacji Zawodowej ""Educo""",Mój styl moj_ now_ szans_,3-Jan-13,1-Jun-14,3-Jan-13,923497
,,,Fundacja Rozwoju Katolickiego Uniwersytetu Lubelskiego Jana Paw_a II,Wi_zi spo_eczne zamiast wi_zie_-wsparcie pozytywnej readaptacji osób zagro_onych wykluczeniem spo_ecznym z powodu konfliktu z prawem,2-Sep-13,1-Apr-15,22-Sep-13,610760
,,,Fundacja Rozwoju Lubelszczyzny,Wiedza-Motywacja-Sukces,2-Apr-13,1-Feb-14,31-Jan-13,197539
,,,,Twoja szansa na lepsze jutro,2-Jan-14,1-Jan-16,1-Jan-14,909271.1
,,,,aukcjabezbarier.pl,2-Mar-14,1-Mar-16,12-Feb-14,1169149.35
,,,,Aaaktywni!,2-Sep-13,1-Feb-15,2-Sep-13,997095.69
,,,Gmina Baranów,Lepszy start,2-Jun-13,29-Aug-14,24-Dec-13,443500
,,,Gmina Miasto Lublin,Sprawni w pracy w Urz_dzie Miasta Lublin,2-Aug-13,1-Aug-15,29-Dec-13,932620
,,,Gmina Piaski/O_rodek Pomocy Spo_ecznej w Piaskach,"Aktywno__, Integracja, Mobilno__ - program wymierzony w reintegracj_ osób niezatrudnionych z gminy Piaski- ",2-Oct-13,1-Apr-15,3-Oct-13,532226.06
,,,Gmina Skierbieszów/Warsztat Terapii Zaj_ciowej w Lipinie Starej,WTZ w Lipinie Starej - Twoj_ szans_ na lepsze _ycie,2-Aug-13,1-Aug-14,19-Dec-13,240778.8
,,,INPLUS CONSULTING Iwona Przewor,Parasol dla rozwoju spo_ecznego powiatu tomaszowskiego,2-Dec-13,1-Apr-15,22-Dec-13,341680
,,,,Parasol dla rozwoju spo_ecznego powiatu zamojskiego,2-Dec-13,1-Apr-15,22-Dec-13,343700
,,,Katolicki Uniwersytet Lubelski Jana Paw_a II,Wsparcie dla osób niepe_nosprawnych z zaburzeniami psychicznymi szans_ na rozwój lokalnej gospodarki spo_ecznej,2-Mar-13,1-Sep-14,28-Feb-13,577595
,,,"Katolickie Stowarzyszenie Pomocy Osobom Uzale_nionym ""AGAPE""",Czas na sukces! - promocja i wsparcie wolontariatu w zakresie integracji osób zagro_onych wykluczeniem spo_ecznym,2-Sep-13,1-Dec-14,21-Nov-13,351310
,,,Kra_nickie Stowarzyszenie Inicjatyw Spo_ecznych,Pierwszy krok na rynek pracy,2-Dec-12,1-Sep-13,1-Jan-13,197634
,,,,Sukces coraz bli_ej,2-Sep-13,1-Jan-15,2-Oct-13,273300
,,,LECHAA CONSULTING SP. Z O.O.,Powrót,2-Oct-13,1-Oct-14,11-Nov-13,751614
,,,Lechaa Consulting sp. z o.o.,Efektywni,2-Feb-13,1-Mar-14,31-Jan-13,712450
,,,Lubelska Fundacja Rozwoju,Schodami do góry,2-Jan-13,1-Jan-15,1-Jan-13,604555.7
,,,,EKONOMIA SPO_ECZNA __CZNIKIEM CELÓW GOSPODARCZYCH Z MISJ_ SPO_ECZN_,2-Feb-13,1-Feb-15,31-Jan-13,236874.4
,,,Lubelska Fundacja Rozwoju - Agencja Rozwoju Regionalnego,Wyj__ przed nawias,2-Oct-13,1-Oct-15,9-Oct-13,601155.38
,,,Lubelska Szkola Biznesu Sp. z o.o. Fundacja Rozwoju KUL ,Wczesna dezaktywizacja zawodowa osób 50+ a otwieranie rynku pracy dla dojrza_ych pracowników. Czynniki sprzyjaj_ce inkluzji jako zabezpieczenie przed wykluczeniem spo_ecznym.,2-Sep-13,1-Apr-15,2-Sep-13,526952.31
,,,Lubelski Dom Medialny Izabela Paluch,Pe_nowarto_ciowi,2-Jan-13,1-Jan-14,1-Jan-13,706538.42
,,,Lubelski O_rodek Samopomocy,Inkubator bez _cian - wsparcie podmiotów ekonomii spo_ecznej,2-Feb-14,1-Apr-15,23-Jan-14,372090.28
,,,,LOES-Lubelski O_rodek Ekonomii Spo_ecznej,2-Nov-13,1-Nov-14,27-Mar-13,385040.14
,,,,LOES-Lubelski O_rodek Ekonomii Spo_ecznej.II edycja.,2-Nov-14,1-Nov-15,4-Dec-13,452307.24
,,,Lubelskie Centrum Samoobrony i Fitnesu,Mi_dzy nadziej_ a zw_tpieniem-reintegracja spo_eczna poprzez sport,10-Oct-13,1-Jan-15,10-Oct-13,764195.1
,,,Miasto Che_m/Centrum Integracji Spo_ecznej,Spróbujmy jeszcze raz...,2-Jan-13,1-Mar-14,1-Jan-13,858195
,,,Miasto Lublin,Dialog spo_eczny w zakresie przeciwdzia_ania przemocy w rodzinie w Lublinie,16-Dec-13,1-Nov-14,28-Nov-13,355740
,,,Miedzynarodowe Centrum Partnerstwa Partners Network,"Kreowanie specjalistów partnerstwa lokalnego na rzecz rozwoju ekonomii spo_ecznej w powiatach bilgorajskim, zamojskim ziemskim i zamojskim grodzkim.",2-Dec-12,1-Feb-14,31-Jan-13,908583.74
,,,Miejski O_rodek Pomocy Spo_ecznej w Kra_niku,ZIELONE SWIAT_O DO SUKCESU,2-Sep-13,1-Jan-15,26-Sep-13,207834.4
,,,Miejski Urz_d Pracy w Lublinie,POSTAW NA JUTRO - ZACZNIJ OD DZI_,2-Aug-13,1-Dec-14,14-Aug-13,265730
,,,"""Nadzieja"" Charytatywne Stowarzyszenie Niesienia Pomocy Chorym Uzale_ninym od Alkoholu",Aktywizacja spo_eczna i zawodowa osób wykluczonych spo_ecznie.,2-Sep-13,1-Aug-15,11-Nov-13,1064510
,,,Ochotnicze Hufce Pracy - Lubelska Wojewódzka Komenda,Teraz m_odzie_ - aktywizacja i szkolenia m_odzie_y,2-Apr-13,1-May-14,1-Jul-13,358978
,,,,Wolontariat Twoj_ szans_,2-Apr-13,1-May-14,1-Jul-13,286959.56
,,,,Ja i moja przysz_o__ ,2-Jun-13,2-Sep-14,30-Jul-13,1037300
,,,O.K. Centrum J_zyków Obcych Sp. z o.o.,Aktywna m_odzie_ szans_ dla regionu.,2-Sep-13,1-Aug-14,26-Sep-13,718903
,,,Pa_stwowa Szko_a Wy_sza im. Papie_a Jana Paw_a II w Bia_ej Podlaskiej,Determinanty aktywno_ci zawodowej osób niepe_nosprawnych zamieszka_ych na terenach wiejskich w województwie lubelskim,2-Aug-13,1-Jul-15,29-Dec-13,392345.59
,,,"Polska Fundacja O_rodków Wspomagania Rozwoju Gospodarczego ""OIC Poland""",Lubelscy Inspiratorzy Ekonomii Spo_ecznej,31-Jan-13,1-Aug-14,31-Jan-13,843879.5
,,,,"""Dobre strategie"" - badanie jako_ciowe i ilo_ciowe powiatowych i gminnych strategii rozwi_zywania problemów spo_ecznych",2-Aug-13,1-Jan-15,18-Sep-13,613602.71
